Text,Title
 پدرام پاک آیین نماینده مدیران مسئول رسانه‌ها در هیات نظارت بر مطبوعات در توییتی موفقیت محمد مهدی اسماعیلی در کسب رأی اعتماد مجلس شورای اسلامی و انتخاب وی به…  ,cultur
 نمایندگان مجلس شورای اسلامی با ۲۶۲ رای موافق، ۱۳ رای مخالف و ۲۸ رای ممتنع، «سید عزت‌الله ضرغامی» را به عنوان وزیر میراث‌فرهنگی، گردشگری و صنایع‌دستی در دولت…  ,cultur
 نمایندگان مجلس شورای اسلامی با ۱۸۱ رای موافق و ۷۷ رای مخالف و ۲۸ رای ممتنع، محمد مهدی اسماعیلی را به عنوان چهاردهمین وزیر فرهنگ و ارشاد اسلامی در دولت سیزدهم…  ,cultur
 سید عزت الله ضرغامی با کسب رای اعتماد از مجلس شورای اسلامی به عنوان وزیر میراث فرهنگی، گردشگری و صنایع دستی دولت سیزدهم معرفی شد.  ,cultur
 محمد مهدی اسماعیلی وزیر پیشنهادی فرهنگ و ارشاد اسلامی دولت سیزدهم از مجلس رای اعتماد گرفت.  ,cultur
 استودیو فیلمسازی برادران وارنر از عنوان رسمی قسمت چهارم از مجموعه فیلم‌های «ماتریکس» رونمایی کرد.  ,cultur
 بازگشت «عطسه» به آنتن شبکه سه، رصد نقل و انتقالات لیگ برتر در «ورزشگاه» و پخش سری جدید مسابقه «ایران» از جمله مهم‌ترین اخبار امروز صداوسیماست.  ,cultur
    قمقم-ایرنا-آیت‌الله عبدالله جوادی آملی از مراجع تقلید در پیامی درگذشت علامه محمدرضا حکیمی از اندیشمندان دینی را تسلیت گفت.  ,cultur
" ""محمدعلی اسلامی ندوشن"" شاعر، منتقد، نویسنده، مترجم و پژوهشگر ایرانی در سوم شهریور ۱۳۰۴ در شهر ندوشن یزد به دنیا آمد، تحصیلات ابتدایی را در مدرسه ناصرخسرو ندوشن…  ",cultur
    فرهنگ و ارشاد اسلامیتهران-ایرنا- مدیرکل دفتر برنامه ریزی و آموزش‌های هنری معاونت امور هنری وزارت فرهنگ وارشاد اسلامی از انتشار کتاب بررسی آموزشگاه‌های آزاد هنری خبر داد و گفت: کتاب آسیب‌شناسی…  ,cultur
