Text,Title
 جواد اوجی وزیر نفت در توئیتی با بیان این‌که دست یاری به سوی شما نخبگان و صاحب‌نظران حوزه نفت دراز می‌کنم، نوشت: به دعای خیر و مشورت و پیشنهادات شما نیازمندم.  ,economy
 مدیرکل بنیاد مسکن گیلان گفت: طی سال گذشته ۲۰ درصد از اراضی کشاورزی گیلان اعم از زراعی و باغی استان تغییر کاربری قرار گرفت .  ,economy
 نمایندگان مجلس شورای اسلامی احسان خاندوزی را به عنوان وزیر امور اقتصادی و دارایی انتخاب کردند.  ,economy
 سیدرضا فاطمی امین گزینه پیشنهادی وزارت صنعت، معدن و تجارت دولت سیزدهم از مجلس رای اعتماد گرفت.  ,economy
    مجلستهران-ایرنا- رستم قاسمی با رای نمایندگان مجلس شورای اسلامی به عنوان وزیر راه و شهرسازی انتخاب شد.  ,economy
 نمایندگان مجلس شورای اسلامی در بررسی صلاحیت وزرای پیشنهادی دولت جواد اوجی را سکاندار وزارت نفت کردند.  ,economy
 نمایندگان مجلس شورای اسلامی حجت الله عبدالملکی را برای وزرات تعاون، کار و رفاه اجتماعی در دولت سیزدهم انتخاب کردند.  ,economy
 عیسی زارع پور وزیر پیشنهادی ارتباطات و فناوری اطلاعات با کسب رای اعتماد از مجلس به دولت سیزدهم راه یافت.  ,economy
 وزیر جهاد کشاورزی در پیام خداحافظی خود خطاب به جامعه کشاورزی و مردم ایران از هرگونه قصور در بخش مدیریتی و تیم خود در دوره وزارت در جهاد کشاورزی عذرخواهی کرد…  ,economy
 نمایندگان مجلس در آخرین روز بررسی صلاحیت وزرای پیشنهادی دولت سیزدهم، ضمن بررسی برنامه‌های جواد اوجی برای وزارت نفت و علی اکبر محرابیان برای وزارت نیرو، دلایل…  ,economy
 بانک مرکزی اعلام کرد: سامانه نیما امروز (چهارشنبه، ۲ شهریورماه) شاهد عرضه حدود ۲۶۹ میلیون دلار به صورت حواله ارزی به منظور تامین ارز واردات کشور بوده است.  ,economy
 بانک مرکزی از ابتدای سال جاری نسبت به تامین بیش از ۷.۲ میلیارد دلار ارز به نرخ ترجیحی برای واردات کالاهای اساسی و دارو اقدام کرده که این میزان در مقایسه با مدت…  ,economy
 به مناسبت هفته دولت ۶ پروژه آب منطقه ای و ۲ طرح جهاد کشاورزی در رضوانشهر و به صورت متمرکز در روستاهای سنگده و حوریان بخش پره سر این شهرستان بهره برداری شد.  ,economy
 سازمان هواشناسی از فعالیت بادهای ۱۲۰ روزه در شرق و جنوب کشور تا پایان هفته خبر داد و اعلام کرد:‌ وزش این بادهای شدید به ویژه در شرق خراسان جنوبی و زابل، طوفان…  ,economy
 بر اساس آمار ارائه شده از سوی معاونت طرح و برنامه وزارت صنعت، معدن و تجارت، در چهار ماهه نخست امسال بیش از ۱۵ هزار و ۸۶۴ میلیارد ریال تسهیلات تبصره ۱۸(برنامه…  ,economy
 عضو هیات مدیره اتحادیه واردکنندگان نهاده‌های دام و طیور ایران گفت: با اجرای چهار پیشنهاد می‌توان مشکلات بازار نهاده‌های دامی را برطرف و این بازار را ساماندهی…  ,economy
 عضو کمیسیون عمران مجلس شورای اسلامی وزیر پیشنهادی نیرو را مدیری توانا برای توفیق در برآورده کردن مطالبات مردم عنوان کرد.  ,economy
نایب رییس کمیسیون انرژی مجلس گفت: وزیر پیشنهادی دارای کارنامه اجرایی و مدیریتی درخشانی و ۹۰۰ طرح و پروژه اثرگذار را اجرا کرده است.  ,economy
 عضو کمیسیون اقتصادی مجلس برنامه وزیر پیشنهادی نیرو را بلندپروازانه ارزیابی کرد و گفت: اگر ایشان نمی‌توانند حکمرانی در مساله آب و برق را حل کنند، همین امروز…  ,economy
 مجری طرح برق‌رسانی روستایی و چاه‌های کشاورزی کشور گفت: در حال پیگیری برای احداث ۳ هزار مگاوات نیروگاه تجدیدپذیر برای تامین برق چاه‌های کشاورزی هستیم.  ,economy
 معاون برنامه‌ریزی و توسعه مدیریت شرکت برق حرارتی گفت: صنایع کشور می‌توانند با تملک واحدهای گاز نیروگاه‌های موجود و تبدیل نیروگاه‌ها به سیکل ترکیبی علاوه بر…  ,economy
 وزیر پیشنهادی نیرو با بیان اینکه برای حل مشکل آب و برق باید کارگاهی به وسعت ایران بنا کنیم، گفت: مکلفیم علاوه بر جبران عقب‌ماندگی‌ها طوری برنامه‌ریزی کنیم تا…  ,economy
 سرپرست معاونت توسعه آبزی پروری سازمان شیلات ایران اعلام کرد: سطح زیر کشت میگو در کشور در سال جاری نسبت به سال ۹۹ حدود ۱۲ درصد رشد نشان می‌دهد.  ,economy
