Text,Title
 حسین امیر عبداللهیان وزیر امور خارجه ایران در پی رأی اعتماد مجلس و آغاز کار در وزارت امور خارجه در پیامی به برخی از مهمترین اولویت هایش اشاره کرد.  ,politics
 محمد باقر قالیباف رئیس مجلس شورای اسلامی در توئیتی تاکید کرد که امروز محکوم به موفقیت هستیم و باید تمام تلاش خود را برای حل مشکلات مردم به کار گیریم.  ,politics
 حسین امیرعبداللهیان وزیر امور خارجه ایران در توئیتی تاکید کرد که همسایگان و آسیا اولویت اول کاری او است.  ,politics
 وزیر امور خارجه کویت در تماس تلفنی، انتخاب حسین امیرعبداللهیان به عنوان وزیر امور خارجه جمهوری اسلامی ایران را به وی تبریک گفت.  ,politics
 حجت الاسلام و المسلمین سید محمود علوی وزیر پیشین اطلاعات در پیامی خود را خدمتگزار کوچک مردم و سرباز ولایت و نظام مقدس جمهوری اسلامی ایران دانست و از همه تشکر…  ,politics
 معاون پارلمانی رئیس جمهوری به جلسه روز پنجشنبه هیات دولت اشاره کرد و گفت: چون به هر حال کشور با مشکلاتی هم در بحث سلامت و هم در بحث مسائل اقتصاد و معیشت مردم…  ,politics
 سرگئی لاوروف وزیر امور خارجه روسیه عصر چهارشنبه در پیامی انتصاب حسین امیر عبداللهیان به سمت وزیر خارجه ایران را به وی تبریک گفت.  ,politics
 محمدجواد ظریف در پیام توییتری رای اعتماد مجلس شورای اسلامی و تصدی سمت وزیر خارجه را به حسین امیر عبداللهیان» تبریک گفته است.  ,politics
 رئیس جمهوری در پیامی با سپاسگزاری از حسن اعتماد مجلس به وزیران پیشنهادی دولت، نوشت: رای قوی مجلس شورای اسلامی به دولت مردمی، ان‌شالله سرآغاز همکاری‌های همدلانه…  ,politics
 سخنگوی سپاه پاسداران انقلاب اسلامی گفت: آمریکایی‌ها بعد از ۲۰ سال در افغانستان چه دستاوردی داشتند بعد از این همه ظلم و جنایت که کردند تنها ارمغان و خواسته‌اشان…  ,politics
 رییس مجلس شورای اسلامی ابراز امیداوری کرد که پس از عدم رای اعتماد نمایندگان مجلس به حسین باغگلی، رییس جمهوری به زودی وزیر پیشنهادی آموزش و پرورش را به مجلس…  ,politics
    مجلسنماینده مردم کرمان با اشاره به مشکلات کشور در خصوص بیماری کرونا، گفت: واردات واکسن از کشورهای مختلف یک ضرورت است .  ,politics
 مجلس شورای اسلامی هفته آینده جلسه علنی ندارد، جلسه بعد روز یکشنبه ۱۴ شهریور خواهد بود.  ,politics
 وزیر کشور با تاکید بر اینکه با تمام وجود برای رفع محرومیت های جامعه تلاش شبانه روزی خواهد کرد، گفت که در این راستا مدیران وزارت کشور نیز باید دلسوزانه و متعهدانه…  ,politics
 نمایندگان مجلس شورای اسلامی با ۲۶۲ رای موافق، ۱۳ رای مخالف و ۲۸ رای ممتنع، «سید عزت‌الله ضرغامی» را به عنوان وزیر میراث‌فرهنگی، گردشگری و صنایع‌دستی در دولت…  ,politics
 نمایندگان مجلس شورای اسلامی احسان خاندوزی را به عنوان وزیر امور اقتصادی و دارایی انتخاب کردند.  ,politics
 سیدرضا فاطمی امین گزینه پیشنهادی وزارت صنعت، معدن و تجارت دولت سیزدهم از مجلس رای اعتماد گرفت.  ,politics
 علی اکبر محرابیان وزیر پیشنهادی نیرو در دولت سیزدهم از مجلس رای اعتماد گرفت.  ,politics
 نمایندگان مجلس شورای اسلامی به ۱۸ وزیر پیشنهادی دولت سیزدهم رای اعتماد دادند و تنها وزیر پیشنهادی آموزش و پرورش نتوانست رای اعتماد نمایندگان را کسب کند.  ,politics
    مجلستهران-ایرنا- رستم قاسمی با رای نمایندگان مجلس شورای اسلامی به عنوان وزیر راه و شهرسازی انتخاب شد.  ,politics
 نمایندگان مجلس شورای اسلامی با ۱۸۱ رای موافق و ۷۷ رای مخالف و ۲۸ رای ممتنع، محمد مهدی اسماعیلی را به عنوان چهاردهمین وزیر فرهنگ و ارشاد اسلامی در دولت سیزدهم…  ,politics
 نمایندگان مجلس شورای اسلامی با انتخاب سیدحمید سجادی هزاوه برای تصدی وزارت ورزش و جوانان موافقت کردند.  ,politics
 نمایندگان مجلس شورای اسلامی در بررسی صلاحیت وزرای پیشنهادی دولت جواد اوجی را سکاندار وزارت نفت کردند.  ,politics
 سید عزت الله ضرغامی با کسب رای اعتماد از مجلس شورای اسلامی به عنوان وزیر میراث فرهنگی، گردشگری و صنایع دستی دولت سیزدهم معرفی شد.  ,politics
 نمایندگان مجلس شورای اسلامی با سپردن وزارت کشور به احمد وحیدی در دولت سیزدهم موافقت کردند.  ,politics
 محمد مهدی اسماعیلی وزیر پیشنهادی فرهنگ و ارشاد اسلامی دولت سیزدهم از مجلس رای اعتماد گرفت.  ,politics
 نمایندگان مجلس شورای اسلامی با انتخاب محمدعلی زلفی گل به عنوان وزیر علوم، تحقیقات و فناوری موافقت کردند.  ,politics
 امین‌ حسین رحیمی با رای اعتماد مجلس شورای اسلامی به عنوان وزیر دادگستری دولت سیزدهم انتخاب شد.  ,politics
 نمایندگان مجلس شورای اسلامی با رای قاطع و بالای خود امیر سرتیپ محمدرضا قرایی آشتیانی را به عنوان وزیر دفاع و پشتیبانی نیروهای مسلح انتخاب کردند.  ,politics
 سید جواد ساداتی نژاد با کسب رای اعتماد از مجلس شورای اسلامی به عنوان وزیر جهاد کشاورزی به دولت سیزدهم راه یافت.  ,politics
 نمایندگان مجلس شورای اسلامی حجت الله عبدالملکی را برای وزرات تعاون، کار و رفاه اجتماعی در دولت سیزدهم انتخاب کردند.  ,politics
