Text,Title
 مربی تیم فوتبال ساحلی پاس گناوه گفت: این تیم بومی ترین تیم لیگ برتر است و در بازی ها می تواند حریف تیم ها شود اما حریف داوران نمی‌شویم.  ,sport
 سرمربی تیم فوتبال ساحلی سپاهان شهرداری سمنان گفت:هفته آینده بازی سختی با تیم تقویت شده شاهین خزر رودسر خواهیم داشت و با آن که در بازی رفت نتیجه خوبی توسط بازیکنان…  ,sport
 تمرین امروز تیم فوتبال پرسپولیس در حالی برگزار شد که رادوشوویچ بعد از تاخیر در بازگشت از امروز به جمع سرخپوشان اضافه شد.  ,sport
    فوتبالتهران_ ایرنا_ تیم فوتبال شباب الاهلی امارات در روزی که بازیکنان ایرانی‌اش برای اولین بار پیراهن این تیم را بر تن کردند توانست برابر عجمان به برتری برسد.  ,sport
 سرمربی تیم والیبال نوجوانان ایران گفت: برخلاف آنچه گفته می‌شود، مسابقات جهانی را توفانی شروع نکردیم.  ,sport
 دیدار تیم های سپاهان شهرداری سمنان و پاس گناوه از چارچوب هفته هفتم لیگ برتر فوتبال ساحلی در دیداری پر گل که ۱۳ مرتبه توپ به تور دروازه ها نشست با پیروزی نماینده…  ,sport
 تیم والیبال نوجوانان ایران در نخستین مسابقه خود در رقابت‌های قهرمانی نوجوانان جهان با اقتدار مقابل هند پیروز شد.  ,sport
 گزینه‌های سرمربیگری تیم فوتبال سایپا مشخص شده و به نظر می‌رسد ظرف یکی‌ دو روز آینده سرمربی جدید این باشگاه به طور رسمی معرفی شود.  ,sport
 با اعلام سرپرست تیم ملی فوتبال ایران، ۲ نفر به کادر فنی تیم ملی اضافه شدند.  ,sport
 وزیر ورزش و جوانان در نخستین واکنش به رای اعتماد مجلس برای تصدی پست این وزارتخانه، هدف را خدمت به جوانان و ورزشکاران دانست و گفت: انشالله در این مسیر شرمنده…  ,sport
 مهرداد سراجی از سمت ریاست کمیته فوتسال فدراسیون فوتبال استعفا کرد.  ,sport
 رییس فدراسیون بین‌المللی فوتبال‌(فیفا) از نخست وزیر انگلیس درخواست کرد تا برای بازیکنانی خارجی شاغل در لیگ جزیره که قرار است در فیفادی پیش رو، تیم‌ ملی کشورشان…  ,sport
 «حمید سجادی» با ۱۶۵ رای موافق، توانست از مجلس شورای اسلامی رای اعتماد گرفته و وزیر ورزش و جوانان دولت سیزدهم شود.  ,sport
 نمایندگان مجلس شورای اسلامی با انتخاب سیدحمید سجادی هزاوه برای تصدی وزارت ورزش و جوانان موافقت کردند.  ,sport
 رقابت‌های بوکس قهرمانی رده‌های سنی آسیا با ادامه روند خوب شاگردان رضا مهدی‌پور و صعود ۲ بوکسور جوان کشورمان به فینال ادامه یافت.  ,sport
 مدیر ورزشی باشگاه پاری‌سن‌ژرمن با تایید رد پیشنهاد باشگاه رئال مادرید برای جذب «کیلین امیاپه»، از باز بودن درهای پارک‌دوپرنس برای خروج مرد فرانسوی خبر داد اما…  ,sport
 هافبک پیشین تیم سن‌پولتن اتریش در یک‌قدمی پیوستن به جمع سرخپوشان پایتخت قرار گرفت.  ,sport
 عضو کمیسیون عمران مجلس شورای اسلامی وزیر پیشنهادی ورزش و جوانان را مورد تایید جامعه ورزشی کشور برای این وزارتخانه دانست و وی را عاملی برای هویت بخشی به جوانان…  ,sport
    مجلستهران-ایرنا- نایب رییس کمیسیون برنامه و بودجه مجلس شورای اسلامی، برنامه گزینه پیشنهادی وزارت ورزش را فاقد آینده نگری و واقع بینی لازم عنوان کرد و گفت: برنامه ارائه شده سجادی…  ,sport
 کاپیتان باشگاه تاتنهام انگلیس با انتشار پستی در فضای مجازی از ادامه همکاری خود با این باشگاه خبر داد و به شایعات جدایی خود پایان بخشید.  ,sport
 لیست ۲۵ نفره تیم ملی عراق برای دیدار با ۲ تیم کره جنوبی و ایران در چارچوب رقابت‌های انتخابی جام جهانی ۲۰۲۲ مشخص شد.  ,sport
 وزیر پیشنهادی ورزش و جوانان گفت: تحول نه فقط خواست ما بلکه ضرورت این دوره است و وزارت ورزش و جوانان باید پرچم‌دار این موضوع باشد.  ,sport
 نماینده مردم تهران، ری، شمیرانات، اسلامشهر و پردیس در مجلس شورای اسلامی گفت: روحیه وزیر پیشنهادی ورزش و جوانان با دولت مردمی و حامی طبقات محروم آیت الله رییسی…  ,sport
 باشگاه پاری‌سن‌ژرمن پیشنهاد ۱۶۰ میلیون یورویی رئال مادرید را برای به خدمت گرفتن «کیلین امباپه» رد کرد و این در حالی است که باشگاه مادریدی درحال سبک و سنگین کردن…  ,sport
 کمیسیون فرهنگی مجلس شورای اسلامی برنامه‌های ارایه شده سجادی وزیر پیشنهادی وزارت ورزش و جوانان را تایید نکرد.  ,sport
 زمان آغاز مسابقات فصل بیست و یکم لیگ برتر فوتبال مشخص شد. این مسابقات از ۲۷ مهرماه شروع می‌شود.  ,sport
 شهریار مغانلو در صفحه شخصی خود در اینستاگرام کاری را انجام داده که نتایجش به هیچ وجه شخصی نیست.  ,sport
 آخرین گروه از کاروان فرهنگی ورزشی ایران امشب(چهارشنبه) راهی توکیو میزبان بازی های پارالمپیک ۲۰۲۰ می شوند.  ,sport
 براساس اعلام وزارت دادگستری آمریکا، فدراسیون بین المللی فوتبال (فیفا) بیش از ۲۰۱ میلیون دلار مصادره شده مرتبط با پرونده فساد مالی سال ۲۰۱۵ در این نهاد جهانی…  ,sport
 باشگاه پرسپولیس به پرداخت مبلغ ۹۶ هزار دلار به مهاجم نیجریه‌ای اسبق خود محکوم شد.  ,sport
 قرارداد «ساسان انصاری» قراردادش را با فولاد خوزستان برای 2 فصل دیگر تمدید کرد.  ,sport
